epoca,a,b,mse
126,2.0000018834,1.0259573574,0.2317260944
127,2.0000018834,1.0259573574,0.2317260944
128,2.0000018834,1.0259573574,0.2317260944
129,2.0000018834,1.0259573574,0.2317260944
130,2.0000018834,1.0259573574,0.2317260944
131,2.0000018834,1.0259573574,0.2317260944
132,2.0000018834,1.0259573574,0.2317260944
133,2.0000018834,1.0259573574,0.2317260944
134,2.0000018834,1.0259573574,0.2317260944
135,2.0000018834,1.0259573574,0.2317260944
136,2.0000018834,1.0259573574,0.2317260944
137,2.0000018834,1.0259573574,0.2317260944
138,2.0000018834,1.0259573574,0.2317260944
139,2.0000018834,1.0259573574,0.2317260944
140,2.0000018834,1.0259573574,0.2317260944
141,2.0000018834,1.0259573574,0.2317260944
142,2.0000018834,1.0259573574,0.2317260944
143,2.0000018834,1.0259573574,0.2317260944
144,2.0000018834,1.0259573574,0.2317260944
145,2.0000018834,1.0259573574,0.2317260944
146,2.0000018834,1.0259573574,0.2317260944
147,2.0000018834,1.0259573574,0.2317260944
148,2.0000018834,1.0259573574,0.2317260944
149,2.0000018834,1.0259573574,0.2317260944
150,2.0000018834,1.0259573574,0.2317260944
151,2.0000018834,1.0259573574,0.2317260944
152,2.0000018834,1.0259573574,0.2317260944
153,2.0000018834,1.0259573574,0.2317260944
154,2.0000018834,1.0259573574,0.2317260944
155,2.0000018834,1.0259573574,0.2317260944
156,2.0000018834,1.0259573574,0.2317260944
157,2.0000018834,1.0259573574,0.2317260944
158,2.0000018834,1.0259573574,0.2317260944
159,2.0000018834,1.0259573574,0.2317260944
160,2.0000018834,1.0259573574,0.2317260944
161,2.0000018834,1.0259573574,0.2317260944
162,2.0000018834,1.0259573574,0.2317260944
163,2.0000018834,1.0259573574,0.2317260944
164,2.0000018834,1.0259573574,0.2317260944
165,2.0000018834,1.0259573574,0.2317260944
166,2.0000018834,1.0259573574,0.2317260944
167,2.0000018834,1.0259573574,0.2317260944
168,2.0000018834,1.0259573574,0.2317260944
169,2.0000018834,1.0259573574,0.2317260944
170,2.0000018834,1.0259573574,0.2317260944
171,2.0000018834,1.0259573574,0.2317260944
172,2.0000018834,1.0259573574,0.2317260944
173,2.0000018834,1.0259573574,0.2317260944
174,2.0000018834,1.0259573574,0.2317260944
175,2.0000018834,1.0259573574,0.2317260944
176,2.0000018834,1.0259573574,0.2317260944
177,2.0000018834,1.0259573574,0.2317260944
178,2.0000018834,1.0259573574,0.2317260944
179,2.0000018834,1.0259573574,0.2317260944
180,2.0000018834,1.0259573574,0.2317260944
181,2.0000018834,1.0259573574,0.2317260944
182,2.0000018834,1.0259573574,0.2317260944
183,2.0000018834,1.0259573574,0.2317260944
184,2.0000018834,1.0259573574,0.2317260944
185,2.0000018834,1.0259573574,0.2317260944
186,2.0000018834,1.0259573574,0.2317260944
187,2.0000018834,1.0259573574,0.2317260944
188,2.0000018834,1.0259573574,0.2317260944
189,2.0000018834,1.0259573574,0.2317260944
190,2.0000018834,1.0259573574,0.2317260944
191,2.0000018834,1.0259573574,0.2317260944
192,2.0000018834,1.0259573574,0.2317260944
193,2.0000018834,1.0259573574,0.2317260944
194,2.0000018834,1.0259573574,0.2317260944
195,2.0000018834,1.0259573574,0.2317260944
196,2.0000018834,1.0259573574,0.2317260944
197,2.0000018834,1.0259573574,0.2317260944
198,2.0000018834,1.0259573574,0.2317260944
199,2.0000018834,1.0259573574,0.2317260944
200,2.0000018834,1.0259573574,0.2317260944
201,2.0000018834,1.0259573574,0.2317260944
202,2.0000018834,1.0259573574,0.2317260944
203,2.0000018834,1.0259573574,0.2317260944
204,2.0000018834,1.0259573574,0.2317260944
205,2.0000018834,1.0259573574,0.2317260944
206,2.0000018834,1.0259573574,0.2317260944
207,2.0000018834,1.0259573574,0.2317260944
208,2.0000018834,1.0259573574,0.2317260944
209,2.0000018834,1.0259573574,0.2317260944
210,2.0000018834,1.0259573574,0.2317260944
211,2.0000018834,1.0259573574,0.2317260944
212,2.0000018834,1.0259573574,0.2317260944
213,2.0000018834,1.0259573574,0.2317260944
214,2.0000018834,1.0259573574,0.2317260944
215,2.0000018834,1.0259573574,0.2317260944
216,2.0000018834,1.0259573574,0.2317260944
217,2.0000018834,1.0259573574,0.2317260944
218,2.0000018834,1.0259573574,0.2317260944
219,2.0000018834,1.0259573574,0.2317260944
220,2.0000018834,1.0259573574,0.2317260944
221,2.0000018834,1.0259573574,0.2317260944
222,2.0000018834,1.0259573574,0.2317260944
223,2.0000018834,1.0259573574,0.2317260944
224,2.0000018834,1.0259573574,0.2317260944
225,2.0000018834,1.0259573574,0.2317260944
226,2.0000018834,1.0259573574,0.2317260944
227,2.0000018834,1.0259573574,0.2317260944
228,2.0000018834,1.0259573574,0.2317260944
229,2.0000018834,1.0259573574,0.2317260944
230,2.0000018834,1.0259573574,0.2317260944
231,2.0000018834,1.0259573574,0.2317260944
232,2.0000018834,1.0259573574,0.2317260944
233,2.0000018834,1.0259573574,0.2317260944
234,2.0000018834,1.0259573574,0.2317260944
235,2.0000018834,1.0259573574,0.2317260944
236,2.0000018834,1.0259573574,0.2317260944
237,2.0000018834,1.0259573574,0.2317260944
238,2.0000018834,1.0259573574,0.2317260944
239,2.0000018834,1.0259573574,0.2317260944
240,2.0000018834,1.0259573574,0.2317260944
241,2.0000018834,1.0259573574,0.2317260944
242,2.0000018834,1.0259573574,0.2317260944
243,2.0000018834,1.0259573574,0.2317260944
244,2.0000018834,1.0259573574,0.2317260944
245,2.0000018834,1.0259573574,0.2317260944
246,2.0000018834,1.0259573574,0.2317260944
247,2.0000018834,1.0259573574,0.2317260944
248,2.0000018834,1.0259573574,0.2317260944
249,2.0000018834,1.0259573574,0.2317260944
250,2.0000018834,1.0259573574,0.2317260944
251,2.0000018834,1.0259573574,0.2317260944
252,2.0000018834,1.0259573574,0.2317260944
253,2.0000018834,1.0259573574,0.2317260944
254,2.0000018834,1.0259573574,0.2317260944
255,2.0000018834,1.0259573574,0.2317260944
256,2.0000018834,1.0259573574,0.2317260944
257,2.0000018834,1.0259573574,0.2317260944
258,2.0000018834,1.0259573574,0.2317260944
259,2.0000018834,1.0259573574,0.2317260944
260,2.0000018834,1.0259573574,0.2317260944
261,2.0000018834,1.0259573574,0.2317260944
262,2.0000018834,1.0259573574,0.2317260944
263,2.0000018834,1.0259573574,0.2317260944
264,2.0000018834,1.0259573574,0.2317260944
265,2.0000018834,1.0259573574,0.2317260944
266,2.0000018834,1.0259573574,0.2317260944
267,2.0000018834,1.0259573574,0.2317260944
268,2.0000018834,1.0259573574,0.2317260944
269,2.0000018834,1.0259573574,0.2317260944
270,2.0000018834,1.0259573574,0.2317260944
271,2.0000018834,1.0259573574,0.2317260944
272,2.0000018834,1.0259573574,0.2317260944
273,2.0000018834,1.0259573574,0.2317260944
274,2.0000018834,1.0259573574,0.2317260944
275,2.0000018834,1.0259573574,0.2317260944
276,2.0000018834,1.0259573574,0.2317260944
277,2.0000018834,1.0259573574,0.2317260944
278,2.0000018834,1.0259573574,0.2317260944
279,2.0000018834,1.0259573574,0.2317260944
280,2.0000018834,1.0259573574,0.2317260944
281,2.0000018834,1.0259573574,0.2317260944
282,2.0000018834,1.0259573574,0.2317260944
283,2.0000018834,1.0259573574,0.2317260944
284,2.0000018834,1.0259573574,0.2317260944
285,2.0000018834,1.0259573574,0.2317260944
286,2.0000018834,1.0259573574,0.2317260944
287,2.0000018834,1.0259573574,0.2317260944
288,2.0000018834,1.0259573574,0.2317260944
289,2.0000018834,1.0259573574,0.2317260944
290,2.0000018834,1.0259573574,0.2317260944
291,2.0000018834,1.0259573574,0.2317260944
292,2.0000018834,1.0259573574,0.2317260944
293,2.0000018834,1.0259573574,0.2317260944
294,2.0000018834,1.0259573574,0.2317260944
295,2.0000018834,1.0259573574,0.2317260944
296,2.0000018834,1.0259573574,0.2317260944
297,2.0000018834,1.0259573574,0.2317260944
298,2.0000018834,1.0259573574,0.2317260944
299,2.0000018834,1.0259573574,0.2317260944
300,2.0000018834,1.0259573574,0.2317260944
301,2.0000018834,1.0259573574,0.2317260944
302,2.0000018834,1.0259573574,0.2317260944
303,2.0000018834,1.0259573574,0.2317260944
304,2.0000018834,1.0259573574,0.2317260944
305,2.0000018834,1.0259573574,0.2317260944
306,2.0000018834,1.0259573574,0.2317260944
307,2.0000018834,1.0259573574,0.2317260944
308,2.0000018834,1.0259573574,0.2317260944
309,2.0000018834,1.0259573574,0.2317260944
310,2.0000018834,1.0259573574,0.2317260944
311,2.0000018834,1.0259573574,0.2317260944
312,2.0000018834,1.0259573574,0.2317260944
313,2.0000018834,1.0259573574,0.2317260944
314,2.0000018834,1.0259573574,0.2317260944
315,2.0000018834,1.0259573574,0.2317260944
316,2.0000018834,1.0259573574,0.2317260944
317,2.0000018834,1.0259573574,0.2317260944
318,2.0000018834,1.0259573574,0.2317260944
319,2.0000018834,1.0259573574,0.2317260944
320,2.0000018834,1.0259573574,0.2317260944
321,2.0000018834,1.0259573574,0.2317260944
322,2.0000018834,1.0259573574,0.2317260944
323,2.0000018834,1.0259573574,0.2317260944
324,2.0000018834,1.0259573574,0.2317260944
325,2.0000018834,1.0259573574,0.2317260944
326,2.0000018834,1.0259573574,0.2317260944
327,2.0000018834,1.0259573574,0.2317260944
328,2.0000018834,1.0259573574,0.2317260944
329,2.0000018834,1.0259573574,0.2317260944
330,2.0000018834,1.0259573574,0.2317260944
331,2.0000018834,1.0259573574,0.2317260944
332,2.0000018834,1.0259573574,0.2317260944
333,2.0000018834,1.0259573574,0.2317260944
334,2.0000018834,1.0259573574,0.2317260944
335,2.0000018834,1.0259573574,0.2317260944
336,2.0000018834,1.0259573574,0.2317260944
337,2.0000018834,1.0259573574,0.2317260944
338,2.0000018834,1.0259573574,0.2317260944
339,2.0000018834,1.0259573574,0.2317260944
340,2.0000018834,1.0259573574,0.2317260944
341,2.0000018834,1.0259573574,0.2317260944
342,2.0000018834,1.0259573574,0.2317260944
343,2.0000018834,1.0259573574,0.2317260944
344,2.0000018834,1.0259573574,0.2317260944
345,2.0000018834,1.0259573574,0.2317260944
346,2.0000018834,1.0259573574,0.2317260944
347,2.0000018834,1.0259573574,0.2317260944
348,2.0000018834,1.0259573574,0.2317260944
349,2.0000018834,1.0259573574,0.2317260944
350,2.0000018834,1.0259573574,0.2317260944
351,2.0000018834,1.0259573574,0.2317260944
352,2.0000018834,1.0259573574,0.2317260944
353,2.0000018834,1.0259573574,0.2317260944
354,2.0000018834,1.0259573574,0.2317260944
355,2.0000018834,1.0259573574,0.2317260944
356,2.0000018834,1.0259573574,0.2317260944
357,2.0000018834,1.0259573574,0.2317260944
358,2.0000018834,1.0259573574,0.2317260944
359,2.0000018834,1.0259573574,0.2317260944
360,2.0000018834,1.0259573574,0.2317260944
361,2.0000018834,1.0259573574,0.2317260944
362,2.0000018834,1.0259573574,0.2317260944
363,2.0000018834,1.0259573574,0.2317260944
364,2.0000018834,1.0259573574,0.2317260944
365,2.0000018834,1.0259573574,0.2317260944
366,2.0000018834,1.0259573574,0.2317260944
367,2.0000018834,1.0259573574,0.2317260944
368,2.0000018834,1.0259573574,0.2317260944
369,2.0000018834,1.0259573574,0.2317260944
370,2.0000018834,1.0259573574,0.2317260944
371,2.0000018834,1.0259573574,0.2317260944
372,2.0000018834,1.0259573574,0.2317260944
373,2.0000018834,1.0259573574,0.2317260944
374,2.0000018834,1.0259573574,0.2317260944
375,2.0000018834,1.0259573574,0.2317260944
376,2.0000018834,1.0259573574,0.2317260944
377,2.0000018834,1.0259573574,0.2317260944
378,2.0000018834,1.0259573574,0.2317260944
379,2.0000018834,1.0259573574,0.2317260944
380,2.0000018834,1.0259573574,0.2317260944
381,2.0000018834,1.0259573574,0.2317260944
382,2.0000018834,1.0259573574,0.2317260944
383,2.0000018834,1.0259573574,0.2317260944
384,2.0000018834,1.0259573574,0.2317260944
385,2.0000018834,1.0259573574,0.2317260944
386,2.0000018834,1.0259573574,0.2317260944
387,2.0000018834,1.0259573574,0.2317260944
388,2.0000018834,1.0259573574,0.2317260944
389,2.0000018834,1.0259573574,0.2317260944
390,2.0000018834,1.0259573574,0.2317260944
391,2.0000018834,1.0259573574,0.2317260944
392,2.0000018834,1.0259573574,0.2317260944
393,2.0000018834,1.0259573574,0.2317260944
394,2.0000018834,1.0259573574,0.2317260944
395,2.0000018834,1.0259573574,0.2317260944
396,2.0000018834,1.0259573574,0.2317260944
397,2.0000018834,1.0259573574,0.2317260944
398,2.0000018834,1.0259573574,0.2317260944
399,2.0000018834,1.0259573574,0.2317260944
400,2.0000018834,1.0259573574,0.2317260944
401,2.0000018834,1.0259573574,0.2317260944
402,2.0000018834,1.0259573574,0.2317260944
403,2.0000018834,1.0259573574,0.2317260944
404,2.0000018834,1.0259573574,0.2317260944
405,2.0000018834,1.0259573574,0.2317260944
406,2.0000018834,1.0259573574,0.2317260944
407,2.0000018834,1.0259573574,0.2317260944
408,2.0000018834,1.0259573574,0.2317260944
409,2.0000018834,1.0259573574,0.2317260944
410,2.0000018834,1.0259573574,0.2317260944
411,2.0000018834,1.0259573574,0.2317260944
412,2.0000018834,1.0259573574,0.2317260944
413,2.0000018834,1.0259573574,0.2317260944
414,2.0000018834,1.0259573574,0.2317260944
415,2.0000018834,1.0259573574,0.2317260944
416,2.0000018834,1.0259573574,0.2317260944
417,2.0000018834,1.0259573574,0.2317260944
418,2.0000018834,1.0259573574,0.2317260944
419,2.0000018834,1.0259573574,0.2317260944
420,2.0000018834,1.0259573574,0.2317260944
421,2.0000018834,1.0259573574,0.2317260944
422,2.0000018834,1.0259573574,0.2317260944
423,2.0000018834,1.0259573574,0.2317260944
424,2.0000018834,1.0259573574,0.2317260944
425,2.0000018834,1.0259573574,0.2317260944
426,2.0000018834,1.0259573574,0.2317260944
427,2.0000018834,1.0259573574,0.2317260944
428,2.0000018834,1.0259573574,0.2317260944
429,2.0000018834,1.0259573574,0.2317260944
430,2.0000018834,1.0259573574,0.2317260944
431,2.0000018834,1.0259573574,0.2317260944
432,2.0000018834,1.0259573574,0.2317260944
433,2.0000018834,1.0259573574,0.2317260944
434,2.0000018834,1.0259573574,0.2317260944
435,2.0000018834,1.0259573574,0.2317260944
436,2.0000018834,1.0259573574,0.2317260944
437,2.0000018834,1.0259573574,0.2317260944
438,2.0000018834,1.0259573574,0.2317260944
439,2.0000018834,1.0259573574,0.2317260944
440,2.0000018834,1.0259573574,0.2317260944
441,2.0000018834,1.0259573574,0.2317260944
442,2.0000018834,1.0259573574,0.2317260944
443,2.0000018834,1.0259573574,0.2317260944
444,2.0000018834,1.0259573574,0.2317260944
445,2.0000018834,1.0259573574,0.2317260944
446,2.0000018834,1.0259573574,0.2317260944
447,2.0000018834,1.0259573574,0.2317260944
448,2.0000018834,1.0259573574,0.2317260944
449,2.0000018834,1.0259573574,0.2317260944
450,2.0000018834,1.0259573574,0.2317260944
451,2.0000018834,1.0259573574,0.2317260944
452,2.0000018834,1.0259573574,0.2317260944
453,2.0000018834,1.0259573574,0.2317260944
454,2.0000018834,1.0259573574,0.2317260944
455,2.0000018834,1.0259573574,0.2317260944
456,2.0000018834,1.0259573574,0.2317260944
457,2.0000018834,1.0259573574,0.2317260944
458,2.0000018834,1.0259573574,0.2317260944
459,2.0000018834,1.0259573574,0.2317260944
460,2.0000018834,1.0259573574,0.2317260944
461,2.0000018834,1.0259573574,0.2317260944
462,2.0000018834,1.0259573574,0.2317260944
463,2.0000018834,1.0259573574,0.2317260944
464,2.0000018834,1.0259573574,0.2317260944
465,2.0000018834,1.0259573574,0.2317260944
466,2.0000018834,1.0259573574,0.2317260944
467,2.0000018834,1.0259573574,0.2317260944
468,2.0000018834,1.0259573574,0.2317260944
469,2.0000018834,1.0259573574,0.2317260944
470,2.0000018834,1.0259573574,0.2317260944
471,2.0000018834,1.0259573574,0.2317260944
472,2.0000018834,1.0259573574,0.2317260944
473,2.0000018834,1.0259573574,0.2317260944
474,2.0000018834,1.0259573574,0.2317260944
475,2.0000018834,1.0259573574,0.2317260944
476,2.0000018834,1.0259573574,0.2317260944
477,2.0000018834,1.0259573574,0.2317260944
478,2.0000018834,1.0259573574,0.2317260944
479,2.0000018834,1.0259573574,0.2317260944
480,2.0000018834,1.0259573574,0.2317260944
481,2.0000018834,1.0259573574,0.2317260944
482,2.0000018834,1.0259573574,0.2317260944
483,2.0000018834,1.0259573574,0.2317260944
484,2.0000018834,1.0259573574,0.2317260944
485,2.0000018834,1.0259573574,0.2317260944
486,2.0000018834,1.0259573574,0.2317260944
487,2.0000018834,1.0259573574,0.2317260944
488,2.0000018834,1.0259573574,0.2317260944
489,2.0000018834,1.0259573574,0.2317260944
490,2.0000018834,1.0259573574,0.2317260944
491,2.0000018834,1.0259573574,0.2317260944
492,2.0000018834,1.0259573574,0.2317260944
493,2.0000018834,1.0259573574,0.2317260944
494,2.0000018834,1.0259573574,0.2317260944
495,2.0000018834,1.0259573574,0.2317260944
496,2.0000018834,1.0259573574,0.2317260944
497,2.0000018834,1.0259573574,0.2317260944
498,2.0000018834,1.0259573574,0.2317260944
499,2.0000018834,1.0259573574,0.2317260944
500,2.0000018834,1.0259573574,0.2317260944
501,2.0000018834,1.0259573574,0.2317260944
502,2.0000018834,1.0259573574,0.2317260944
503,2.0000018834,1.0259573574,0.2317260944
504,2.0000018834,1.0259573574,0.2317260944
505,2.0000018834,1.0259573574,0.2317260944
506,2.0000018834,1.0259573574,0.2317260944
507,2.0000018834,1.0259573574,0.2317260944
508,2.0000018834,1.0259573574,0.2317260944
509,2.0000018834,1.0259573574,0.2317260944
510,2.0000018834,1.0259573574,0.2317260944
511,2.0000018834,1.0259573574,0.2317260944
512,2.0000018834,1.0259573574,0.2317260944
513,2.0000018834,1.0259573574,0.2317260944
514,2.0000018834,1.0259573574,0.2317260944
515,2.0000018834,1.0259573574,0.2317260944
516,2.0000018834,1.0259573574,0.2317260944
517,2.0000018834,1.0259573574,0.2317260944
518,2.0000018834,1.0259573574,0.2317260944
519,2.0000018834,1.0259573574,0.2317260944
520,2.0000018834,1.0259573574,0.2317260944
521,2.0000018834,1.0259573574,0.2317260944
522,2.0000018834,1.0259573574,0.2317260944
523,2.0000018834,1.0259573574,0.2317260944
524,2.0000018834,1.0259573574,0.2317260944
525,2.0000018834,1.0259573574,0.2317260944
526,2.0000018834,1.0259573574,0.2317260944
527,2.0000018834,1.0259573574,0.2317260944
528,2.0000018834,1.0259573574,0.2317260944
529,2.0000018834,1.0259573574,0.2317260944
530,2.0000018834,1.0259573574,0.2317260944
531,2.0000018834,1.0259573574,0.2317260944
532,2.0000018834,1.0259573574,0.2317260944
533,2.0000018834,1.0259573574,0.2317260944
534,2.0000018834,1.0259573574,0.2317260944
535,2.0000018834,1.0259573574,0.2317260944
536,2.0000018834,1.0259573574,0.2317260944
537,2.0000018834,1.0259573574,0.2317260944
538,2.0000018834,1.0259573574,0.2317260944
539,2.0000018834,1.0259573574,0.2317260944
540,2.0000018834,1.0259573574,0.2317260944
541,2.0000018834,1.0259573574,0.2317260944
542,2.0000018834,1.0259573574,0.2317260944
543,2.0000018834,1.0259573574,0.2317260944
544,2.0000018834,1.0259573574,0.2317260944
545,2.0000018834,1.0259573574,0.2317260944
546,2.0000018834,1.0259573574,0.2317260944
547,2.0000018834,1.0259573574,0.2317260944
548,2.0000018834,1.0259573574,0.2317260944
549,2.0000018834,1.0259573574,0.2317260944
550,2.0000018834,1.0259573574,0.2317260944
551,2.0000018834,1.0259573574,0.2317260944
552,2.0000018834,1.0259573574,0.2317260944
553,2.0000018834,1.0259573574,0.2317260944
554,2.0000018834,1.0259573574,0.2317260944
555,2.0000018834,1.0259573574,0.2317260944
556,2.0000018834,1.0259573574,0.2317260944
557,2.0000018834,1.0259573574,0.2317260944
558,2.0000018834,1.0259573574,0.2317260944
559,2.0000018834,1.0259573574,0.2317260944
560,2.0000018834,1.0259573574,0.2317260944
561,2.0000018834,1.0259573574,0.2317260944
562,2.0000018834,1.0259573574,0.2317260944
563,2.0000018834,1.0259573574,0.2317260944
564,2.0000018834,1.0259573574,0.2317260944
565,2.0000018834,1.0259573574,0.2317260944
566,2.0000018834,1.0259573574,0.2317260944
567,2.0000018834,1.0259573574,0.2317260944
568,2.0000018834,1.0259573574,0.2317260944
569,2.0000018834,1.0259573574,0.2317260944
570,2.0000018834,1.0259573574,0.2317260944
571,2.0000018834,1.0259573574,0.2317260944
572,2.0000018834,1.0259573574,0.2317260944
573,2.0000018834,1.0259573574,0.2317260944
574,2.0000018834,1.0259573574,0.2317260944
575,2.0000018834,1.0259573574,0.2317260944
576,2.0000018834,1.0259573574,0.2317260944
577,2.0000018834,1.0259573574,0.2317260944
578,2.0000018834,1.0259573574,0.2317260944
579,2.0000018834,1.0259573574,0.2317260944
580,2.0000018834,1.0259573574,0.2317260944
581,2.0000018834,1.0259573574,0.2317260944
582,2.0000018834,1.0259573574,0.2317260944
583,2.0000018834,1.0259573574,0.2317260944
584,2.0000018834,1.0259573574,0.2317260944
585,2.0000018834,1.0259573574,0.2317260944
586,2.0000018834,1.0259573574,0.2317260944
587,2.0000018834,1.0259573574,0.2317260944
588,2.0000018834,1.0259573574,0.2317260944
589,2.0000018834,1.0259573574,0.2317260944
590,2.0000018834,1.0259573574,0.2317260944
591,2.0000018834,1.0259573574,0.2317260944
592,2.0000018834,1.0259573574,0.2317260944
593,2.0000018834,1.0259573574,0.2317260944
594,2.0000018834,1.0259573574,0.2317260944
595,2.0000018834,1.0259573574,0.2317260944
596,2.0000018834,1.0259573574,0.2317260944
597,2.0000018834,1.0259573574,0.2317260944
598,2.0000018834,1.0259573574,0.2317260944
599,2.0000018834,1.0259573574,0.2317260944
600,2.0000018834,1.0259573574,0.2317260944
601,2.0000018834,1.0259573574,0.2317260944
602,2.0000018834,1.0259573574,0.2317260944
603,2.0000018834,1.0259573574,0.2317260944
604,2.0000018834,1.0259573574,0.2317260944
605,2.0000018834,1.0259573574,0.2317260944
